0131|6 CKN NUG/SF/HM|6050|S FRENCH FRIES|1
0136|ANGUS BBQ BCN MEAL|21|21 OZ GENERIC DRK|1
0136|ANGUS BBQ BCN MEAL|135|ANGUS CHPL BBQ BACON|1
0136|ANGUS BBQ BCN MEAL|8932|M FRENCH FRIES|1
0137|ANGUS BBQ BCN ML-LRG|125|30 OZ GENERIC DRK|1
0137|ANGUS BBQ BCN ML-LRG|135|ANGUS CHPL BBQ BACON|1
0137|ANGUS BBQ BCN ML-LRG|6053|L FRENCH FRIES|1
0140|CKN CLASS-CPY ML-AP|21|21 OZ GENERIC DRK|1
0140|CKN CLASS-CPY ML-AP|2794|APPLE SLICES|2
0140|CKN CLASS-CPY ML-AP|4392|CRISPY CHICKEN DLX|1
0145|MCDLT/SF/ML|327|MCDLT|1
0145|MCDLT/SF/ML|6050|S FRENCH FRIES|1
0146|DINNER BOX|5|BIG MAC|2
0146|DINNER BOX|5280|10 MCNUGGETS|1
0146|DINNER BOX|5528|BLITZ BOX|1
0146|DINNER BOX|6050|S FRENCH FRIES|3
0150|CKN CLASS-GRL ML-AP|21|21 OZ GENERIC DRK|1
0150|CKN CLASS-GRL ML-AP|2213|GRILLED CHICKEN DLX|1
0150|CKN CLASS-GRL ML-AP|2794|APPLE SLICES|2
0151|MCDLT/5F/ML|21|21 OZ GENERIC DRK|1
0151|MCDLT/5F/ML|327|MCDLT|1
0151|MCDLT/5F/ML|8932|M FRENCH FRIES|1
0164|3 CKN SLCT/SF/HM|20|16 OZ GENERIC DRK|1
0164|3 CKN SLCT/SF/HM|800|TOY-GENERIC HM|1
0164|3 CKN SLCT/SF/HM|1615|3 PC CKN TNDR|1
0164|3 CKN SLCT/SF/HM|6050|S FRENCH FRIES|1
0165|HAPPY ML SIDE SALAD|1|HAMBURGER|1
0165|HAPPY ML SIDE SALAD|19|12 OZ SOFT DRK|1
0165|HAPPY ML SIDE SALAD|800|TOY-GENERIC HM|1
0165|HAPPY ML SIDE SALAD|8759|SIDE SALAD|1
0169|CKN CLUB-CPY ML-AP|21|21 OZ GENERIC DRK|1
0169|CKN CLUB-CPY ML-AP|2794|APPLE SLICES|2
0169|CKN CLUB-CPY ML-AP|4389|CHICKEN CLUB-CPY|1
0172|2 TRPL CHSB & M FRY|780|TRIPLE CHEESEBURGER|2
0172|2 TRPL CHSB & M FRY|8932|M FRENCH FRIES|1
0173|CHEESEBURGER ML-SML|3|CHEESEBURGER|1
0173|CHEESEBURGER ML-SML|20|16 OZ GENERIC DRK|1
0173|CHEESEBURGER ML-SML|6050|S FRENCH FRIES|1
0177|SAU EGG MCMUFFIN PF|83|SAUSAGE EGG MCMUFFIN|1
0177|SAU EGG MCMUFFIN PF|4148|FRUIT N YGRT PARFAIT|1
0192|CKN CLUB-GRL ML-AP|21|21 OZ GENERIC DRK|1
0192|CKN CLUB-GRL ML-AP|2231|CHICKEN CLUB-GRL|1
0192|CKN CLUB-GRL ML-AP|2794|APPLE SLICES|2
0194|2 BAC EGG CH BISCUIT|85|BAC EGG CH BISCUIT|2
0197|CKN RNBLT-CPY ML-AP|21|21 OZ GENERIC DRK|1
0197|CKN RNBLT-CPY ML-AP|2794|APPLE SLICES|2
0197|CKN RNBLT-CPY ML-AP|4345|CKN RANCH BLT-CPY|1
0201|MEAL BUNDLE|5|BIG MAC|2
0201|MEAL BUNDLE|60|6 MCNUGGETS|1
0201|MEAL BUNDLE|592|MCDOUBLE|1
0201|MEAL BUNDLE|5528|BLITZ BOX|1
0201|MEAL BUNDLE|6050|S FRENCH FRIES|4
0221|2 SAU EGG CH BISCUIT|87|SAU EGG CH BISCUIT|2
0223|CKN RNBLT-GRL ML-AP|21|21 OZ GENERIC DRK|1
0223|CKN RNBLT-GRL ML-AP|2221|CKN RANCH BLT-GRL|1
0223|CKN RNBLT-GRL ML-AP|2794|APPLE SLICES|2
0239|CHOC CHIP COOKIE(6)|1852|CHOC CHIP COOKIE|6
0250|BAC EGG CH BISC ML|24|S COFFEE|1
0250|BAC EGG CH BISC ML|35|HASH BROWN|1
0250|BAC EGG CH BISC ML|85|BAC EGG CH BISCUIT|1
0251|SAU EGG BISC ML|24|S COFFEE|1
0251|SAU EGG BISC ML|35|HASH BROWN|1
0251|SAU EGG BISC ML|92|SAU EGG BISCUIT|1
0252|EGG MCMUFFIN ML|24|S COFFEE|1
0252|EGG MCMUFFIN ML|35|HASH BROWN|1
0252|EGG MCMUFFIN ML|46|EGG MCMUFFIN|1
0263|MCRIB & QTR CHEESE|7|QTR POUNDER CHEESE|1
0263|MCRIB & QTR CHEESE|10|MCRIB|1
0273|ANGUS BBQ BCN ML-PF|21|21 OZ GENERIC DRK|1
0273|ANGUS BBQ BCN ML-PF|135|ANGUS CHPL BBQ BACON|1
0273|ANGUS BBQ BCN ML-PF|4148|FRUIT N YGRT PARFAIT|1
0280|ANGUS BBQ BCN ML-SD|21|21 OZ GENERIC DRK|1
0280|ANGUS BBQ BCN ML-SD|135|ANGUS CHPL BBQ BACON|1
0280|ANGUS BBQ BCN ML-SD|8759|SIDE SALAD|1
0287|ANGUS BBQ BCN ML-AD|21|21 OZ GENERIC DRK|1
0287|ANGUS BBQ BCN ML-AD|135|ANGUS CHPL BBQ BACON|1
0287|ANGUS BBQ BCN ML-AD|7400|APPLE DIPPERS|1
0288|BEANIE BABY/FRY|800|TOY-GENERIC HM|1
0288|BEANIE BABY/FRY|6050|S FRENCH FRIES|1
0292|2 SAUSAGE BISCUIT|62|SAUSAGE BISCUIT|2
0296|QPC DINNER BOX|7|QTR POUNDER CHEESE|4
0296|QPC DINNER BOX|5528|BLITZ BOX|1
0296|QPC DINNER BOX|6050|S FRENCH FRIES|4
0309|HAMBGR/SF/ML|1|HAMBURGER|1
0309|HAMBGR/SF/ML|19|12 OZ SOFT DRK|1
0309|HAMBGR/SF/ML|6050|S FRENCH FRIES|1
0310|CHSBGR/SF/ML|3|CHEESEBURGER|1
0310|CHSBGR/SF/ML|19|12 OZ SOFT DRK|1
0310|CHSBGR/SF/ML|6050|S FRENCH FRIES|1
0324|HOTCK(2)/HM|66|MILK|1
0324|HOTCK(2)/HM|502|HOTCK(2)|1
0324|HOTCK(2)/HM|800|TOY-GENERIC HM|1
0344|GRL ON CHED ML-SML|20|16 OZ GENERIC DRK|1
0344|GRL ON CHED ML-SML|3816|GRILLED ONION CHEDDR|1
0344|GRL ON CHED ML-SML|6050|S FRENCH FRIES|1
0347|2 TRPL CHEESE ML-SML|20|16 OZ GENERIC DRK|1
0347|2 TRPL CHEESE ML-SML|780|TRIPLE CHEESEBURGER|2
0347|2 TRPL CHEESE ML-SML|6050|S FRENCH FRIES|1
0349|3 EGG MCMUFFIN|46|EGG MCMUFFIN|3
0352|DBL CHEESE ML-AP|4|DOUBLE CHEESEBURGER|1
0352|DBL CHEESE ML-AP|21|21 OZ GENERIC DRK|1
0352|DBL CHEESE ML-AP|2794|APPLE SLICES|2
0353|TRIPLE CHEESE ML-HB|21|21 OZ GENERIC DRK|1
0353|TRIPLE CHEESE ML-HB|35|HASH BROWN|1
0353|TRIPLE CHEESE ML-HB|780|TRIPLE CHEESEBURGER|1
0360|2 STEAK BURRITOS|1022|STEAK BURRITO|2
0361|3 FILET-O-FISH|5926|FILET-O-FISH|3
0368|HAMBGR/POTATO CHIP|1|HAMBURGER|1
