PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
1229|L ICED HZLNT COFFEE|L Ihaz|5259|L Iced Hzln Coffee|L Ihaz
1245|SNR COFFEE|Srcoff|5005|SNR COFFEE|Srcosu
1246|S ICED COFFEE|S Icof|1328|S Iced Coffee|S Icof
1247|SNR DECAF COFFEE|Srdcaf|5011|SNR DECAF COFFEE|Srdcsu
1249|S ICED FRVN COFFEE|S Ivan|2003|S Iced FrVn Coffee|S Ivan
1273|S ICED HZLNT COFFEE|S Ihaz|2032|S Iced Hzlnt Coffee|S Ihaz
1274|ANGUS BCN&CHS SNK WP|Wp Bcn|1867|Angus Bcn&Chs Snk Wp|Wp Bcn
1277|ANGUS DELUXE SNK WP|Wp Dlx|1868|Angus Deluxe Snk Wp|Wp Dlx
1285|ANGUS MSH&SWS SNK WP|Wp Msh|1869|Angus Msh&Sws Snk Wp|Wp Msh
1297|XLG COKE|X COKE|4797|XLG COKE|X COKE
1298|XLG DIET COKE|X DIET|4798|XLG DIET COKE|X DIET
1299|XLG HI-C ORANGE|X HI-C|4799|XLG HI-C ORANGE|X HI-C
1300|XLG SPRITE|X SPRT|4800|XLG SPRITE|X SPRT
1301|XLG DR. PEPPER|X DRPR|4801|XLG DR. PEPPER|X DRPR
1302|XLG MELLO YELLO|X MELO|8556|XLG MELLO YELLO|X MELO
1303|XLG PIBB EXTRA|X PIBB|4803|XLG PIBB EXTRA|X PIBB
1304|XLG FRUIT PUNCH|X FRTP|6599|XLG FRUIT PUNCH|X FRTP
1305|XLG LEMONADE|X LEMN|4805|XLG LEMONADE|X LEMN
1306|XLG ROOT BEER|X RTBR|4907|XLG ROOT BEER|X RTBR
1307|XLG FANTA STRAWBERRY|X STRF|6997|XLG FANTA STRAWBERRY|X STRF
1320|S CARAMEL LATTE|S Clat|3568|S Caramel Latte|S Clat
1324|M CARAMEL LATTE|M Clat|1361|M Caramel Latte|M Clat
1325|L CARAMEL LATTE|L Clat|1364|L Caramel Latte|L Clat
1326|S N-FAT CRML LATTE|S Nclt|3571|S N-Fat Crml Latte|S Nclt
1327|M N-FAT CRML LATTE|M Nclt|1370|M N-Fat Crml Latte|M Nclt
1329|L N-FAT CRML LATTE|L Nclt|1371|L N-Fat Crml Latte|L Nclt
1330|S FRVN LATTE|S Vlat|3592|S FrVn Latte|S Vlat
1331|M FRVN LATTE|M Vlat|1383|M FrVn Latte|M Vlat
1332|40 MCNUGGETS|40Ng|6250|40 McNuggets|40Ng
1333|L FRVN LATTE|L Vlat|1384|L FrVn Latte|L Vlat
1335|S NF FRVN LATTE|S Nvlt|3593|S NF FrVn Latte|S Nvlt
1338|M NF FRVN LATTE|M Nvlt|1389|M NF FrVn Latte|M Nvlt
1339|L NF FRVN LATTE|L Nvlt|1402|L NF FrVn Latte|L Nvlt
1340|ICED VANILLA LATTE|I VLAT|1358|ICED VANILLA LATTE|I VLAT
1341|ICED N-FAT VAN LATTE|I NVLT|1359|ICED N-FAT VAN LATTE|I NVLT
1365|RANCH SNACK WRAP-CPY|Wpc/Rn|5258|Ranch Snack Wrap-Cpy|Wpc/Rn
1381|M N-FAT PRM HTCHOC|M Nphc|1418|M N-Fat Prm HtChoc|M Nphc
1395|SNACK SPICY MCBITES|Sn Spb|3952|Snack Spicy McBites|Sn Spb
1401|10 CHICKEN SELECTS|10cs|4107|10 Chicken Selects|10cs
1405|10 CKN SLCTS ML-LRG|L 10cs|2344|10 Ckn Slcts Ml-Lrg|L 10cs
1444|XLG UNSWEET ICED TEA|X UTEA|4844|XLG UNSWEET ICED TEA|X UTEA
1466|BIG N TASTY CHEESE|BNTC|6399|BIG N TASTY CHEESE|BNTC
1496|BTL ZERO XXX|B 0XXX|1747|Btl Zero XXX|B 0XXX
1500|OATMEAL|Oatml|1873|Oatmeal|Oatml
1508|S CHOCOLATE SHAKE|S Choc|2206|S Chocolate Shake|S Choc
1509|M CHOCOLATE SHAKE|M Choc|2207|M Chocolate Shake|M Choc
1510|L CHOCOLATE SHAKE|L Choc|2209|L Chocolate Shake|L Choc
1511|S STRAWBERRY SHAKE|S Strw|2210|S Strawberry Shake|S Strw
1513|M STRAWBERRY SHAKE|M Strw|2211|M Strawberry Shake|M Strw
1516|L STRAWBERRY SHAKE|L Strw|3022|L Strawberry Shake|L Strw
1554|BACON MCDOUBLE MEAL|M Bmcd|5857|Bacon McDouble Meal|M Bmcd
1585|M FRENCH VANILLA|M Frvn|7493|M French Vanilla|M Frvn
1592|S VANILLA SHAKE|S Vanl|3225|S Vanilla Shake|S Vanl
1598|M VANILLA SHAKE|M Vanl|3229|M Vanilla Shake|M Vanl
1603|BAC EGG CH BAGEL|BEC Bg|4603|Bac Egg Ch Bagel|BEC Bg
1604|SAUS EGG CH BAGEL|SEC Bg|4629|Saus Egg Ch Bagel|SEC Bg
1612|SROJA SNACK WRAP-CPY|Wpc/Ro|3584|Sroja Snack Wrap-Cpy|Wpc/Ro
1613|L VANILLA SHAKE|L Vanl|3230|L Vanilla Shake|L Vanl
1614|SROJA SNACK WRAP-GRL|Wp/Rog|3587|Sroja Snack Wrap-Grl|Wp/Rog
1616|SML SPECIAL SHAKE|S SPEC|3231|SML SPECIAL SHAKE|S SPEC
1617|MED SPECIAL SHAKE|M SPEC|3235|MED SPECIAL SHAKE|M SPEC
1623|RANCH SNACK WRAP-GRL|Wp/Rng|4583|Ranch Snack Wrap-Grl|Wp/Rng
1624|HNYMU SNACK WRAP-GRL|Wp/Hng|4584|Hnymu Snack Wrap-Grl|Wp/Hng
1629|LRG SPECIAL SHAKE|L SPEC|3236|LRG SPECIAL SHAKE|L SPEC
1631|FOLDED EGG|Folded|2148|Folded Egg|Folded
1631|FOLDED EGG|Folded|6265|SCRAMBLED EGG|Scramb
1634|S ORANGE SHAKE|S Artc|3213|S Orange Shake|S Artc
1635|M ORANGE SHAKE|M Artc|3214|M Orange Shake|M Artc
1639|L ORANGE SHAKE|L Artc|3215|L Orange Shake|L Artc
1641|CHPBQ SNACK WRAP-CPY|Wpc/Bq|4004|ChpBQ Snack Wrap-Cpy|Wpc/Bq
1642|CHPBQ SNACK WRAP-GRL|Wp/Bqg|4025|ChpBQ Snack Wrap-Grl|Wp/Bqg
1647|LITE CREAM CHEESE|Lt Cch|1761|Lite Cream Cheese|Lt Cch
1649|CREAM CHEESE|Crm Ch|1760|Cream Cheese|CrmChs
1659|SNACK OREO MCFLURRY|Sn Ore|1769|Snack Oreo McFlurry|Sn Ore
1659|SNACK OREO MCFLURRY|Sn Ore|5516|Snack Oreo McFlurry|Sn Ore
1661|SNACK M&M MCFLURRY|Sn M&M|1770|Snack M&M McFlurry|Sn M&M
1661|SNACK M&M MCFLURRY|Sn M&M|5510|Snack M&M McFlurry|Sn M&M
1662|SNACK REESE MCFLURRY|Sn Res|1771|Snack Reese McFlurry|Sn Res
1662|SNACK REESE MCFLURRY|Sn Res|5520|Snack Reese McFlurry|Sn Res
1694|XLG ORANGE JUICE|X Oj|2901|LRG ORANGE JUICE 32|L Oj
1694|XLG ORANGE JUICE|X Oj|9973|Xlg Orange Juice|X Oj
1697|M PRM HOT CHOCOLATE|M Prhc|1698|M Prm Hot Chocolate|M Prhc
1710|SAU GRAVY BISC ML|Grvbi+|5769|Sau Gravy Bisc Ml|Grvbi+
1748|SNACK BTRFN MCFLURRY|Sn Btr|1772|Snack Btrfn McFlurry|Sn Btr
1749|SNACK SNCKR MCFLURRY|SN SNK|1773|Snack Snckr McFlurry|Sn Snk
1765|STEAK EGG MCMUFFIN|Stk Mf|4953|Steak Egg McMuffin|Stk Mf
1768|STK EGG MCMUFFIN ML|Stkmf+|4290|Stk Egg McMuffin Ml|Stkmf+
1784|ANGUS CHP BBQ SNK WP|Wp BBQ|1871|Angus Chp BBQ Snk Wp|Wp BBQ
1795|CHD SPECIAL SHAKE|C SPEC|6858|CHD SPECIAL SHAKE|C SPEC
1796|SML SPECIAL SHAKE|S SPEC|6572|SML SPECIAL SHAKE|S SPEC
1797|MED SPECIAL SHAKE|M SPEC|7937|MED SPECIAL SHAKE|M SPEC
1798|LRG SPECIAL SHAKE|L SPEC|7938|LRG SPECIAL SHAKE|L SPEC
1800|CHD CHOCOLATE SHAKE|C CHOC|6950|CHD CHOCOLATE SHAKE|C CHOC
1801|SML CHOCOLATE SHAKE|S CHOC|6571|SML CHOCOLATE SHAKE|S CHOC
1802|MED CHOCOLATE SHAKE|M CHOC|7934|MED CHOCOLATE SHAKE|M CHOC
1803|LRG CHOCOLATE SHAKE|L CHOC|7935|LRG CHOCOLATE SHAKE|L CHOC
1805|CHD VANILLA SHAKE|C VANL|6911|CHD VANILLA SHAKE|C VANL
1806|SML VANILLA SHAKE|S VANL|6574|SML VANILLA SHAKE|S VANL
1807|MED VANILLA SHAKE|M VANL|7943|MED VANILLA SHAKE|M VANL
1808|LRG VANILLA SHAKE|L VANL|7944|LRG VANILLA SHAKE|L VANL
1810|CHD STRAWBERRY SHAKE|C STRW|6910|CHD STRAWBERRY SHAKE|C STRW
1811|SML STRAWBERRY SHAKE|S STRW|6573|SML STRAWBERRY SHAKE|S STRW
1812|MED STRAWBERRY SHAKE|M STRW|7940|MED STRAWBERRY SHAKE|M STRW
1813|LRG STRAWBERRY SHAKE|L STRW|7941|LRG STRAWBERRY SHAKE|L STRW
1820|SMORES PIE|Sm Pie|7016|SMores Pie|Sm Pie
1825|CARAMEL APLE SUNDAE|Cmlapl|6960|Caramel Aple Sundae|Cmlapl
1840|BAC EGG CH BAGEL ML|BECbg+|4840|Bac Egg Ch Bagel Ml|BECbg+
1841|SAUS EGG CH BAGEL ML|Secbg+|7802|Saus Egg Ch Bagel Ml|Secbg+
1852|CHOC CHIP COOKIE|Chp Ck|1881|Choc Chip Cookie|Chp Ck
1858|KIDS FRY|K Fry|6431|Extra Kids Fry|K Fry
1875|10 CKN SLCTS MEAL|M 10cs|2298|10 Ckn Slcts Meal|M 10cs
1876|FB/FRY/AP HPY ML TOY|Fmb Fa|4121|FB/Fry/Ap Hpy Ml Toy|Fmb Fa
1885|BRATWURST|Brat|4812|Bratwurst|Brat
1888|L FRT YGRT PARFAIT|L Prft|4538|L Frt Ygrt Parfait|L Prft
1891|L FRENCH VANILLA|L Frvn|2913|L French Vanilla|L Frvn
1936|COUNTRY HAM BISC ML|Hambi+|6326|Country Ham Bisc Ml|Hambi+
1950|XLG FANTA GRAPE|X GRPE|1977|XLG FANTA GRAPE|X GRPE
1952|CHICKEN NOODLE SOUP|Cknndl|5793|Chicken Noodle Soup|Cknndl
1954|VEGETABLE BEEF SOUP|Veg Bf|5794|Vegetable Beef Soup|Veg Bf
1956|BROCCOLI CHEESE SOUP|Brocch|5792|Broccoli Cheese Soup|Brocch
1975|STRWBERRY& CREME PIE|Sc Pie|3774|Strwberry& Creme Pie|Sc Pie
1975|STRWBERRY& CREME PIE|Sc Pie|7018|Strwberry& Creme Pie|Sc Pie
1987|2 20 MCNUG/2LFML-LRG|L40n2f|5775|2 20 McNug/2Lfml-Lrg|L40n2f
1994|CIABATTA ROLL|Ciabta|2165|Ciabatta Roll|Ciabta
2026|SNACK HMINT MCFLURRY|Sn Mnt|2254|Snack Hmint McFlurry|Sn Mnt
2037|SNICKERS MCFLURRY|SNICKR|2067|Snickers McFlurry|Snickr
2043|HOLIDAY MNT MCFLURRY|Hlday|2255|Holiday Mnt McFlurry|Hlday
2056|BIG MAC ML-SLD|Sd Mac|2071|Big Mac Ml-Sld|Sd Mac
2061|2 CHSBURGER ML-SLD|Sd2chb|2096|2 Chsburger Ml-Sld|Sd2chb
2063|QTR CHEESE ML-SLD|Sd Qpc|3210|Qtr Cheese Ml-Sld|Sd Qpc
2064|DBL QTR CH ML-SLD|Sddqpc|3211|Dbl Qtr Ch Ml-Sld|Sddqpc
2069|S CHOC CHIP FRAPPE|S Chpf|2076|S Choc Chip Frappe|S Chpf
2073|10 MCNUGGETS ML-SLD|Sd10ng|3223|10 McNuggets Ml-Sld|Sd10ng
2074|FILET-O-FISH ML-SLD|Sd Fof|2104|Filet-O-Fish Ml-Sld|Sd Fof
2088|S PEPPERMINT MOCHA|S Pmoc|3406|S Peppermint Mocha|S Pmoc
2100|M PEPPERMINT MOCHA|M Pmoc|3409|M Peppermint Mocha|M Pmoc
2107|S PEACH BERRY|S PBry|2276|S Peach Berry|S PBry
2108|L PEPPERMINT MOCHA|L Pmoc|3415|L Peppermint Mocha|L Pmoc
2117|M PEACH BERRY|M PBry|2277|M Peach Berry|M PBry
2127|M PUMPKIN LATTE|M Plat|2283|M Pumpkin Latte|M Plat
2133|L PUMPKIN LATTE|L Plat|2284|L Pumpkin Latte|L Plat
2143|S NF PEPPMNT MOCHA|S Npmo|3416|S NF Peppmnt Mocha|S Npmo
2147|M NF PEPPMNT MOCHA|M Npmo|3419|M NF Peppmnt Mocha|M Npmo
2151|L NF PEPPMNT MOCHA|L Npmo|3420|L NF Peppmnt Mocha|L Npmo
2154|S ICED PEPPMNT MOC|S Ipmo|3459|S Iced Peppmnt Moc|S Ipmo
2156|M ICED PEPPMNT MOC|M Ipmo|3460|M Iced Peppmnt Moc|M Ipmo
2157|L ICED PEPPMNT MOC|L Ipmo|3461|L Iced Peppmnt Moc|L Ipmo
2158|BCN MCDOUBLE ML-LRG|L Bmcd|5860|Bcn McDouble Ml-Lrg|L Bmcd
2160|S ICE NF PEPMNT MOC|S Inpm|3462|S Ice NF Pepmnt Moc|S Inpm
2161|S N-FAT PKN LATTE|S Nplt|2285|S N-Fat Pkn Latte|S Nplt
2162|M ICE NF PEPMNT MOC|M Inpm|3463|M Ice NF Pepmnt Moc|M Inpm
2163|L ICE NF PEPMNT MOC|L Inpm|3464|L Ice NF Pepmnt Moc|L Inpm
2166|SNACK ROLO MCFLURRY|Sn Rlo|3355|Snack Rolo McFlurry|Sn Rlo
2168|OATMEAL W/O BRN SGR|Nbsoat|3108|Oatmeal w/o Brn Sgr|Nbsoat
2170|M N-FAT PKN LATTE|M Nplt|2287|M N-Fat Pkn Latte|M Nplt
2172|L N-FAT PKN LATTE|L Nplt|2288|L N-Fat Pkn Latte|L Nplt
2174|L PEACH BERRY|L PBry|2279|L Peach Berry|L PBry
2180|C COKE ZERO|C Ck 0|4160|C Coke Zero|C Ck 1
2181|L BLACKBRY RSPBRRY|L BRsp|2282|L Blackbry Rspbrry|L BRsp
2183|S COKE ZERO|S Ck 0|2195|S Coke Zero|S Ck 1
2184|M COKE ZERO|M Ck 0|2203|M Coke Zero|M Ck 1
2185|L COKE ZERO|L Ck 0|2204|L Coke Zero|L Ck 1
2186|XLG COKE ZERO|X CK 0|2205|XLG COKE ZERO|X CK 0
2193|GUACAMOLE QTR ML-SLD|SdGuQt|2336|Guacamole Qtr Ml-Sld|SdGuQt
2212|STK EGG CH MCGRIDDLE|StkEGd|2267|Stk Egg Ch McGriddle|StkEGd
2213|GRILLED CHICKEN DLX|Clsg|2535|Grilled Chicken Dlx|Clsg
2214|GRILLED CKN DLX MEAL|M Clsg|2547|Grilled Ckn Dlx Meal|M Clsg
2215|GRL CKN DLX ML-LRG|L Clsg|2557|Grl Ckn Dlx Ml-Lrg|L Clsg
2221|CKN RANCH BLT-GRL|Bltg|2536|Ckn Ranch Blt-Grl|Bltg
2222|CKN RNBLT-GRL MEAL|M Bltg|2548|Ckn RnBlt-Grl Meal|M Bltg
2223|CKN RNBLT-GRL ML-LRG|L Bltg|2558|Ckn RnBlt-Grl Ml-Lrg|L Bltg
2231|CHICKEN CLUB-GRL|Clbg|2537|Chicken Club-Grl|Clbg
2232|CKN CLUB-GRL MEAL|M Clbg|2549|Ckn Club-Grl Meal|M Clbg
2233|CKN CLUB-GRL ML-LRG|L Clbg|2559|Ckn Club-Grl Ml-Lrg|L Clbg
2258|JALA KKER QTR ML-SLD|SdJkQr|2339|Jala Kker Qtr Ml-Sld|SdJkQr
2259|QTR MSH&SWISS ML-SLD|SdQPMS|2340|Qtr Msh&Swiss Ml-Sld|SdQPMS
2290|SNACK MCBITES ML-SLD|SdSNBT|2359|Snack McBites Ml-Sld|SdSNBT
2315|MCBITES ML-SLD|SdBITE|2388|McBites Ml-Sld|SdBITE
2321|HNYMU SNACK WRAP-CPY|Wpc/Hn|4585|Hnymu Snack Wrap-Cpy|Wpc/Hn
2326|SHARE MCBITES ML-SLD|SdSHBT|2432|Share McBites Ml-Sld|SdSHBT
2347|SOUTHERN CKN BISCUIT|Sthbi|1817|Southern Ckn Biscuit|Sthbi
2348|SOUTHERN STYLE CHKN|Ssck|1850|Southern Style Chkn|Ssck
2350|STH CHICKEN BIS MEAL|Sthbi+|1818|Sth Chicken Bis Meal|Sthbi+
2352|STH STYLE CKN MEAL|M Ssck|1856|Sth Style Ckn Meal|M Ssck
2353|STH STYLE CKN ML-LRG|L Ssck|1857|Sth Style Ckn Ml-Lrg|L Ssck
2367|S LATTE|S Lat|3598|S Latte|S Lat
2369|L LATTE|L Lat|2550|L Latte|L Lat
2371|S MOCHA|S Moca|3599|S Mocha|S Moca
2373|L MOCHA|L Moca|2551|L Mocha|L Moca
2379|S ESPRESSO|S Esp|2792|S Espresso|S Esp
2385|S PRM HOT CHOCOLATE|S Prhc|2538|S Prm Hot Chocolate|S Prhc
2391|ICED LATTE|I LAT|2542|ICED LATTE|I LAT
2400|ICED MOCHA|I MOCA|3647|ICED MOCHA|I MOCA
2412|S NONFAT LATTE|S Nlat|3632|S Nonfat Latte|S Nlat
2414|L NONFAT LATTE|L Nlat|2783|L Nonfat Latte|L Nlat
2418|S NONFAT MOCHA|S Nmoc|3634|S Nonfat Mocha|S Nmoc
2419|L NONFAT MOCHA|L Nmoc|2784|L Nonfat Mocha|L Nmoc
2428|S N-FAT PRM HTCHOC|S Nphc|2539|S N-Fat Prm HtChoc|S Nphc
2435|JALAPENO MCCHICKEN|JalMcC|2440|Jalapeno McChicken|JalMcC
2436|JALAPENO MCCHKN MEAL|M JaMC|2441|Jalapeno McChkn Meal|M JaMC
2437|JALA MCCHKN ML-LRG|L JaMC|2442|Jala McChkn Ml-Lrg|L JaMC
2439|JALA MCCHKN ML-SLD|SdJaMC|2443|Jala McChkn Ml-Sld|SdJaMC
2522|ICED NONFAT LATTE|I NLAT|2543|ICED NONFAT LATTE|I NLAT
2523|ICED NONFAT MOCHA|I NMOC|3660|ICED NONFAT MOCHA|I NMOC
2540|ROLO MCFLURRY|Rolo|3356|Rolo McFlurry|Rolo
2544|SNK SPORTS MCFLURRY|Sn Spo|5443|Snk Sports McFlurry|Sn Spo
2569|MCTERI DELUXE MEAL|M Trki|5504|McTeri Deluxe Meal|M Trki
2585|BOTTLED ORANGE JUICE|Btl OJ|2911|Bottled Orange Juice|Btl OJ
2620|PRET - ORIGINAL|Orignl|7025|Pret - Original|Orignl
2621|PRETZEL - SALTED|Salted|7026|Pretzel - Salted|Salted
2622|PRETZEL - CINN SUGAR|Cinnmn|7027|Pretzel - Cinn Sugar|Cinnmn
2698|M LATTE|M Lat|2785|M Latte|M Lat
2700|S WLDBRY SMOOTHIE|S Wldb|5012|S Wldbry Smoothie|S Wldb
2707|M WLDBRY SMOOTHIE|M Wldb|5013|M Wldbry Smoothie|M Wldb
2721|S STRAWBAN SMOOTHIE|S Stwb|5014|S StrawBan Smoothie|S Stwb
2725|M STRAWBAN SMOOTHIE|M Stwb|5016|M StrawBan Smoothie|M Stwb
2731|M MOCHA|M Moca|2780|M Mocha|M Moca
2770|CKN DLX-GRL ML-SLD|Sdclsg|3224|Ckn Dlx-Grl Ml-Sld|Sdclsg
2788|S MANGOPIN SMOOTHIE|S Mpin|3340|S MangoPin Smoothie|S Mpin
2790|M MANGO PIN SMOOTHIE|M Mpin|3342|M Mango Pin Smoothie|M Mpin
2791|L MANGOPIN SMOOTHIE|L Mpin|3349|L MangoPin Smoothie|L Mpin
2795|BACON CHEESE MEAL|M Bchb|3344|Bacon Cheese Meal|M Bchb
2800|2 APPLE SLICES|2APLSL|2846|2 Apple Slices|2aplsl
2834|M NONFAT LATTE|M Nlat|3005|M Nonfat Latte|M Nlat
2837|M NONFAT MOCHA|M Nmoc|2991|M Nonfat Mocha|M Nmoc
2842|M CARAMEL FRAPPE|M Cfrp|4301|M Caramel Frappe|M Cfrp
2844|L CARAMEL FRAPPE|L Cfrp|4303|L Caramel Frappe|L Cfrp
2852|REESES MCFLURRY|Reese|8742|Reeses McFlurry|Reese
2852|REESES MCFLURRY|Reese|8772|Reeses McFlurry|Reese
2853|TAKE 5 MCFLURRY|TAKE 5|8740|Take 5 McFlurry|Take 6
2898||C Oj|2903|C Orange Juice 12|C Oj
2899||S Oj|2905|S Orange Juice 16|S Oj
2900||M Oj|2906|M Orange Juice 21|M Oj
2901||L Oj|2907|L Orange Juice 32|L Oj
2909|CINNAMON MELTS|Cinmlt|5328|Cinnamon Melts|Cinmlt
2910|BAKERY STYLE ROLL|Bakery|7331|Bakery Style Roll|Bakery
2922|M COF REGULAR|Mcf Rg|2984|M Cof Regular|Mcf Rg
2930|L COF REGULAR|Lcf Rg|2985|L Cof Regular|Lcf Rg
2993|S COFFEE BLACK|S B Cf|5272|S Coffee Black|S B Cf
2995|M COFFEE BLACK|M B Cf|5459|M Coffee Black|M B Cf
2996|L COFFEE BLACK|L B Cf|5460|L Coffee Black|L B Cf
3000|L STRAWBAN SMOOTHIE|L Stwb|5017|L StrawBan Smoothie|L Stwb
3013|C DIET DR. PEPPER|C Dtdr|4013|C Diet Dr. Pepper|C Dtdr
3014|S DIET DR. PEPPER|S Dtdr|4014|S Diet Dr. Pepper|S Dtdr
3015|M DIET DR. PEPPER|M Dtdr|4015|M Diet Dr. Pepper|M Dtdr
3016|L DIET DR. PEPPER|L Dtdr|4016|L Diet Dr. Pepper|L Dtdr
3017|XLG DIET DR. PEPPER|X DTDR|4017|XLG DIET DR. PEPPER|X DTDR
3023|L WLDBRY SMOOTHIE|L Wldb|5018|L Wldbry Smoothie|L Wldb
3030|C SWEET ICED TEA|C Stea|7851|C Sweet Iced Tea|C Stea
3031|S SWEET ICED TEA|S Stea|7852|S Sweet Iced Tea|S Stea
3036|HOTCAKES & BACON|Hc Bcn|8683|Hotcakes & Bacon|Hc Bcn
3040|2 CHEESEBURGER|2 Chb|4040|2 Cheeseburger|2 Chb
3041|MCCHICKEN BISCUIT|Ckn Bi|4623|McChicken Biscuit|Ckn Bi
3065|10 MCNUGGETS ML-LRG|L 10ng|8914|10 McNuggets Ml-Lrg|L 10ng
3134|DBL CHEESE ML-SML|S Dbl|9939|Dbl Cheese Ml-Sml|S Dbl
3147|SAUSAGE BISC ML|Saubi+|4928|Sausage Bisc Ml|Saubi+
3149|2 SAUS EGG MCMUFFIN|2secmf|8977|2 Saus Egg McMuffin|2secmf
3152|C RED FLASH|C Redf|4930|C Red Flash|C Redf
3154|S RED FLASH|S Redf|4927|S Red Flash|S Redf
3155|M RED FLASH|M Redf|4926|M Red Flash|M Redf
3157|L RED FLASH|L Redf|5157|L Red Flash|L Redf
3158|XLG RED FLASH|X REDF|4925|XLG RED FLASH|X REDF
3179|CHOCOLATE MILK|C Milk|7639|Chocolate Milk|C Milk
3179|CHOCOLATE MILK|C Milk|7644|Value Choc Milk|C Milk
3183|HAMBURGER ML-SML|S Hamb|4183|Hamburger Ml-Sml|S Hamb
3185|RANCH SNACK WRAP-CPY|Wpc/Rn|3285|Ranch Snack Wrap-Cpy|Wpc/Rn
3186|HNYMU SNACK WRAP-CPY|Wpc/Hn|3286|Hnymu Snack Wrap-Cpy|Wpc/Hn
3187|CHPBQ SNACK WRAP-CPY|Wpc/BQ|3295|ChpBQ Snack Wrap-Cpy|Wpc/BQ
3199|SNACK MCBITES|SN BTE|3466|SNACK MCBITES|SN BTE
3200|MCBITES|BITES|3206|MCBITES|BITES
3201|MCBITES MEAL|M BITE|3207|MCBITES MEAL|M BITE
3218|FILET-O-FISH & M FRY|Fof&Mf|3221|Filet-O-Fish & M Fry|Fof&Mf
3233|BIG BREAKFAST/BACON|Big Bc|3234|Big Breakfast/Bacon|Big Bc
3238|S SF FRVN LATTE|S Sfvl|3257|S SF FrVn Latte|S Sfvl
3239|M SF FRVN LATTE|M Sfvl|3291|M SF FrVn Latte|M Sfvl
3240|L SF FRVN LATTE|L Sfvl|3292|L SF FrVn Latte|L Sfvl
3241|S NF SF FRVN LATTE|S Nsvl|3260|S NF SF FrVn Latte|S Nsvl
3242|M NF SF FRVN LATTE|M Nsvl|3293|M NF SF FrVn Latte|M Nsvl
3244|S COKE FLOAT|S Ckfl|8561|S Coke Float|S Ckfl
3248|L NF SF FRVN LATTE|L Nsvl|3294|L NF SF FrVn Latte|L Nsvl
3251|BACON CHEESEBURGER|Bchb|3343|Bacon Cheeseburger|Bchb
3269|ICED SF VANILLA LATT|I SFVL|3289|ICED SF VANILLA LATT|I SFVL
3273|ICED NF SF VAN LATTE|I NSVL|3290|ICED NF SF VAN LATTE|I NSVL
3274|S ICE SFFRVN COFFEE|S Sivc|3315|S Ice SFFrVn Coffee|S Sivc
3275|M ICE SFFRVN COFFEE|M Sivc|3380|M Ice SFFrVn Coffee|M Sivc
3276|L ICE SFFRVN COFFEE|L Sivc|3284|L Ice SFFrVn Coffee|L Sivc
3277|MCBITES ML-LRG|L BITE|3283|MCBITES ML-LRG|L BITE
3298|THERMOS|Thermo|4814|Thermos|Thermo
3304|SHAREABLE MCBITES|SH BTE|3314|SHAREABLE MCBITES|SH BTE
3305|APPLE CINNAMON OATML|Ac Oat|4305|Apple Cinnamon Oatml|Ac Oat
3308|BLUEBRY BANANA OATML|Bb Oat|3801|Bluebry Banana Oatml|Bb Oat
3329|C PIBB EXTRA|C Pibb|6947|C Pibb Extra|C Pibb
3330|S PIBB EXTRA|S Pibb|4330|S Pibb Extra|S Pibb
3331|M PIBB EXTRA|M Pibb|4331|M Pibb Extra|M Pibb
3332|L PIBB EXTRA|L Pibb|4332|L Pibb Extra|L Pibb
3347|L ORANGE JUICE|L Oj|2900|MED ORANGE JUICE 21|M Oj
3347|L ORANGE JUICE|L Oj|4882|L Orange Juice|L OJ
3348|STEAK|Steak|6749|Steak|Steak
3375|C FANTA GRAPE|C Grpe|2525|C Fanta Grape|C Grpe
3376|S FANTA GRAPE|S Grpe|4376|S Fanta Grape|S Grpe
3377|M FANTA GRAPE|M Grpe|2526|M Fanta Grape|M Grpe
3378|L FANTA GRAPE|L Grpe|2528|L Fanta Grape|L Grpe
3411|C FANTA STRAWBERRY|C Strf|3938|C Fanta Strawberry|C Strf
3412|S FANTA STRAWBERRY|S Strf|4412|S Fanta Strawberry|S Strf
3413|M FANTA STRAWBERRY|M Strf|1254|M Fanta Strawberry|M Strf
3414|L FANTA STRAWBERRY|L Strf|8557|L Fanta Strawberry|L Strf
3422|SNACK FISH MCBITES|Sn Fsb|3492|Snack Fish McBites|Sn Fsb
3426|DBL QTR CHEESE|Dqpc|4426|Dbl Qtr Cheese|Dqpc
3429|M SWEET ICED TEA|M Stea|6619|M Sweet Iced Tea|M Stea
3430|L SWEET ICED TEA|L Stea|7853|L Sweet Iced Tea|L Stea
3430|L SWEET ICED TEA|L Stea|8653|Evm Sweet Tea|L Stea
3431|GRL CHICKEN PATTY|Grlpty|4175|Grl Chicken Patty|GRLPTY
3447|JALAPENO WHOLE|Jalape|4447|Jalapeno Whole|Jalape
3478|HAPPY MEAL HAMBURGER|Ham Fy|3489|Happy Meal Hamburger|Ham Fy
3479|HAPPY MEAL CH BURGER|Chb Fy|3503|Happy Meal Ch Burger|Chb Fy
3480|HAPPY MEAL 4 PIECE|4NG Fy|3504|4N/Fry/Ap Hpy Meal|4ng Fa
