PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
160|L ICE N-FAT CML MOC|L Incm|3318|L Ice N-Fat Cml Moc|L Incm
161|EGG CHEESE BISCUIT|Egc Bi|9869|Egg Cheese Biscuit|Egc Bi
162|SAUSAGE GRAVY BISC|Grv Bi|1162|Sausage Gravy Bisc|Grv Bi
163|SAUSAGE GRAVY|Gravy|2126|Sausage Gravy|Gravy
167|S HOT CHOCOLATE|S Htch|4981|S Hot Chocolate|S Htch
170|SML ICED CHOCOLATE|S ICHO|3078|SML ICED CHOCOLATE|S ICHO
173|CHEESEBURGER ML-SML|S Chb|1173|Cheeseburger Ml-Sml|S Chb
183|MED ICED CHOCOLATE|M ICHO|3263|MED ICED CHOCOLATE|M ICHO
184|LRG ICED CHOCOLATE|L ICHO|3325|LRG ICED CHOCOLATE|L ICHO
185|S ICE FRVN LATTE|S Ivlt|3093|S Ice FrVn Latte|S Ivlt
187|M ICE FRVN LATTE|M Ivlt|676|M Ice FrVn Latte|M Ivlt
188|BLUEBERRY MUFFIN|Blu Mf|7860|Blueberry Muffin|Blu Mf
188|BLUEBERRY MUFFIN|Blu Mf|7876|Blueberry Muffin|Blu Mf
191|S HAZELNUT LATTE|S Hlat|340|S Hazelnut Latte|S Hlat
193|L ICE FRVN LATTE|L Ivlt|3317|L Ice FrVn Latte|L Ivlt
195|S HOT TEA|S Htea|1253|S Hot Tea|S Htea
198|M HAZELNUT LATTE|M Hlat|1286|M Hazelnut Latte|M Hlat
200|L HAZELNUT LATTE|L Hlat|1293|L Hazelnut Latte|L Hlat
202|SML ICE N-FAT CHOC|S INCH|3088|SML ICE N-FAT CHOC|S INCH
203|MED ICE N-FAT CHOC|M INCH|3309|MED ICE N-FAT CHOC|M INCH
204|S N-FAT HZLN LATTE|S Nhlt|343|S N-Fat Hzln Latte|S Nhlt
205|M N-FAT HZLN LATTE|M Nhlt|1294|M N-Fat Hzln Latte|M Nhlt
206|L N-FAT HZLN LATTE|L Nhlt|1308|L N-Fat Hzln Latte|L Nhlt
208|L UNSWEET ICED TEA|L Utea|1208|L Unsweet Iced Tea|L Utea
208|L UNSWEET ICED TEA|L Utea|2208|Evm Unsweet Tea|L Utea
210|PARTY - EXTRA CHILD|X Chld|1210|Party - Extra Child|X Chld
213|SAUSAGE PRTGSE RICE|Ps Brk|1213|Sausage Prtgse Rice|Ps Brk
