15960|592|1.39|1.39|McDouble
15960|593|2.99|2.99|McDouble Meal
15960|594|3.69|3.69|McDouble Ml-Lrg
15960|619|0.99|0.99|C Hi-C Orange
15960|620|1.00|1.00|S Hi-C Orange
15960|621|1.00|1.00|M Hi-C Orange
15960|622|1.00|1.00|L Hi-C Orange
15960|628|0.50|0.50|Guacamole
15960|642|0|0|Creamy Garlic Sauce
15960|644|0|0|BBQ Ranch Sauce
15960|650|0.99|0.99|C Diet Coke
15960|651|1.00|1.00|S Diet Coke
15960|652|1.00|1.00|M Diet Coke
15960|653|1.00|1.00|L Diet Coke
15960|655|0|0|Chocolate Drizzle
15960|658|0|0|Caramel Drizzle
15960|659|0.30|0.30|Chocolate Crml Syrup
15960|660|2.99|2.99|McDouble Ml-Sld
15960|706|0.89|0.89|Apple Pie
15960|719|0.99|0.99|C Sprite
15960|720|1.00|1.00|S Sprite
15960|721|1.00|1.00|M Sprite
15960|722|1.00|1.00|L Sprite
15960|831|2.00|2.00|Treat Book
15960|846|0.68|0.68|Hpy Meal Auto Deduct
15960|900|0|0|BBQ Sauce
15960|901|0|0|S&S Sauce
15960|902|0|0|Honey
15960|905|0|0|No Dressing
15960|909|0|0|Slivered Onions
15960|910|0|0|Mustard
15960|911|0|0|Salt
15960|912|0|0|Ketchup
15960|913|0|0|Grilled Onions
15960|914|0|0|Pickle
15960|915|0|0|Leaf Lettuce
15960|916|0.30|0.30|Sauce
15960|918|0|0|Mayonnaise
15960|919|0|0|Butter Pat
15960|922|0|0|Creamy Ranch Cup
15960|930|0|0|Ranch Dressing
15960|934|0|0|French Dressing
15960|938|0|0|Lemon
15960|941|0|0|Habanero Sauce
15960|948|0|0|Creamer Packet
15960|949|0|0|Sugar Packet
15960|959|0|0|Low Fat Bls Vin Drsg
15960|962|0|0|Equal Packet
15960|963|0|0|Nut Packet
15960|969|0|0|Syrup
15960|971|0.30|0.30|Extra Sauce Packet
15960|973|0|0|Ice
15960|974|0|0|Low Fat Italian Drsg
15960|975|0.30|0.30|Cup Of
15960|979|0|0|S Water
15960|987|0|0|Pepper Packet
15960|988|0|0|Grape Jam
15960|989|0|0|Strawberry Jam
15960|990|0|0|Hot Picante
15960|991|0|0|Mild Picante
15960|1006|1.19|1.19|Qtr Pounder Hamb
15960|1007|1.39|1.39|Qtr Pounder Cheese
15960|1022|1.69|1.69|Steak Burrito
15960|1031|0.99|0.99|Hotcakes
15960|1043|2.19|2.19|Bacon McDouble
15960|1061|2.99|2.99|20 McNuggets
15960|1080|0|0|M Unsweet Iced Tea
15960|1101|2.79|2.79|Big Breakfast
